folioviv,foliohog,numren,trab,tipo_trab1,tipo_trab2,ocupa1,ocupa2
0100711502,1,02,1,1,1,1,1
0100711502,1,03,1,1,0,1,0
0100711503,1,01,1,1,0,1,0
0100711503,1,02,1,1,3,1,1
0100711504,1,01,1,1,1,1,1
0100711504,1,02,1,1,0,1,0
0100711504,1,03,1,3,3,1,1
0100711505,1,01,1,1,0,1,0
0100711505,1,02,1,3,0,1,0
0100711506,1,01,1,1,0,1,0
0100718601,1,01,1,1,0,1,0
0100718601,1,02,1,3,0,1,0
0100718602,1,01,1,1,0,1,0
0100718604,1,01,1,1,0,1,0
0100718605,1,01,1,1,0,1,0
0100718606,1,01,1,3,0,1,0
0100718606,1,02,1,1,3,1,1
0100720001,1,01,1,1,0,1,0
0100720002,1,01,1,1,0,1,0
0100720003,1,01,1,1,0,1,0
0100720004,1,01,1,1,0,1,0
0100720004,1,02,1,1,0,1,0
0100720005,1,01,1,1,0,1,0
0100720006,1,02,1,1,0,1,0
0100720006,1,05,1,1,0,1,0
0100738202,1,01,1,1,0,1,0
0100738202,1,02,1,1,0,1,0
0100738203,1,02,1,3,0,1,0
0100738203,1,03,1,1,0,1,0
0100738204,1,01,1,3,0,1,0
